"companyStaffID","firstName","lastName","email","cellphone","companyID","companyStaffTypeID","activeFlag","pin"
1,"Aubrey","Malabie","malengatiger@gmail.com",NULL,1,1,0,123456
2,"Bryan","Maluleke","malengadevx@gmail.com",NULL,1,2,0,123456
3,"Mmaphefo","Mofokeng","mmaphefo@mlab.co.za",NULL,1,2,0,123456
4,"Danielle","Khoza","danu@mlab.co.za",NULL,1,2,0,12345
5,"Mfanakithi","Dodoma","mfana@gmail.com",NULL,1,2,0,12345
6,"George","Hlungwane","geogh@gmail.com",NULL,1,2,0,12345
7,"Robert","Bonga","robbonga@gmail.com",NULL,1,2,0,12345
8,"Daniel","Bonga","danbonga@gmail.com",NULL,1,2,0,12345
9,"Thabo","Mongoma","thabmo@gmail.com",NULL,1,2,0,12345
10,"Francinah","Jones","franj@gmail.com",NULL,1,2,0,12345
12,"Jeremiah","Jones","jerryjones@gmail.com",NULL,1,2,0,12345
13,"Sifiso","GrootBoom","Sifiso@gmail.com",NULL,1,2,0,12345
14,"David","Khongoane","davk@gerrym.mail",NULL,1,2,0,42537
15,"Janet","Fumani","janetf@hmail.com",NULL,1,2,0,2938
16,"Moratwe","Mofokeng","moratwe@mof.com",NULL,1,2,0,52635
17,"Thabiso","Legoete","thabs@golf.com",NULL,1,2,0,2836
18,"Thulare","Sono","thlson@gmail.com",NULL,1,2,0,62736
19,"Aubrey","Nzimande","aubsz@gmail.com",NULL,1,2,0,NULL
20,"Jackson","Nkuna","jacksnn@gmail.com",NULL,1,2,0,NULL
21,"Thomas","Bekizulu","thz@gmail.com",NULL,1,2,0,NULL
22,"Wendy","Masipa","thsween@gmail.com",NULL,1,2,0,NULL
23,"Rebecca","Motaung","rebecca@hhna.com",NULL,1,2,0,NULL
24,"Samukelo","Smith","smithsam@gmail.com",NULL,1,2,0,NULL
25,"Siyabonga","Majozi","sybongamaj@gmail.com",NULL,1,2,0,NULL
46,"Aubrey","Malabie","aubrey@mlab.co.za",NULL,24,1,NULL,123456
52,"Wendy","Wench","malengadev@gmail.com","0825563232",24,2,NULL,853575
54,"Deon","Projext","deobp@gmail.com","099666325",24,4,NULL,422645
55,"Suzie","Supervisor","suzies@gmail.com","0885223236",24,2,NULL,248463
56,"Robert","Smith","robertsm@gm.com","0852336369",24,2,NULL,302362
57,"Jonathan","Projectman","hinjon@gmail.com","0774142525",24,4,NULL,115852
58,"Obby","Matlhoko","obby.matlhoko@gmail.com","099 999 9999",24,4,0,123456
59,"Kimmy","Thames","kimmy@gm.com","0885560522",24,2,NULL,337673
60,"Xolani","Qhubeka","xols@gmail.com","099 855 6633",24,4,NULL,133461
61,"Chris","Nkuna","chrdn@gm.com","088 963 9966",24,2,NULL,126015
62,"Dan","TheMan","dwanny@gucgh.com","088 552 9636",24,2,NULL,340683
63,"Goodman","Banner","goog@gmail.xom","088 852 9636",24,2,NULL,254743
64,"Sam","Jenkins","jenk@jenk.com","088 966 8525",24,4,NULL,274670
